"word","results","seed","hansardcount","valence","manualflag"
"consorting",1,0,6,"Anger",0
"lol",0.979559314041957,0,2,"Anger",1
"sotto",0.969653643187814,0,147,"Anger",0
"mummery",0.965613650683527,0,6,"Anger",0
"reprimanding",0.959596976505516,0,7,"Anger",0
"fulminating",0.94102915056313,0,27,"Anger",0
"voce",0.940091282304898,0,153,"Anger",0
"fornication",0.937799472939972,0,9,"Anger",0
"denigrating",0.933711485679014,0,185,"Anger",0
"fulminates",0.933360503180496,0,2,"Anger",0
"manjeet",0.933080422888366,0,2,"Anger",1
"slander",0.932544702097394,0,91,"Anger",0
"calumny",0.926709199452198,0,118,"Anger",0
"bigot",0.926085498013158,0,45,"Anger",0
"strenuously",0.92011368022367,0,229,"Anger",0
"slandering",0.916187090802032,0,5,"Anger",0
"brummer",0.915920340588278,0,5,"Anger",1
"campari",0.9117066331693,0,3,"Anger",1
"vendetta",0.911172515838914,0,187,"Anger",0
"vociferously",0.910354632532873,0,200,"Anger",0
"declaimed",0.91013587313766,0,7,"Anger",0
"mohammedan",0.904944091895195,0,1,"Anger",0
"fulminated",0.904035099445213,0,6,"Anger",0
"hypocrite",0.90053134948643,0,48,"Anger",0
"defaming",0.894465026339437,0,9,"Anger",0
"insinuations",0.891942978029107,0,23,"Anger",0
"dallying",0.889057196324685,0,16,"Anger",0
"belittling",0.887806530443797,0,62,"Anger",0
"epithets",0.875988913025901,0,28,"Anger",0
"braggart",0.874497574479011,0,2,"Anger",0
"javelins",0.870690541671424,0,3,"Anger",0
"profane",0.869765870523411,0,7,"Anger",0
"bigamy",0.864895400968483,0,8,"Anger",0
"ingle",0.864585938583429,0,15,"Anger",1
"slanderous",0.863461458512595,0,11,"Anger",0
"sinning",0.862213487281417,0,5,"Anger",0
"disparages",0.860371985118608,0,11,"Anger",0
"rants",0.858046789752536,0,55,"Anger",0
"regicide",0.85772166448489,0,12,"Anger",0
"remonstrated",0.85740965404549,0,27,"Anger",0
"wolfish",0.857300516288499,0,5,"Anger",0
"belli",0.85587499721777,0,24,"Anger",0
"disrespecting",0.854389415437563,0,14,"Anger",0
"scornfully",0.853343889874949,0,8,"Anger",0
"simony",0.852321954011337,0,2,"Anger",0
"bandera",0.852224367995598,0,1,"Anger",0
"vindictive",0.851080414425261,0,378,"Anger",0
"sambuca",0.851067370505101,0,1,"Anger",1
"thornycroft",0.848903619542805,0,123,"Anger",1
"brandishes",0.847468111736219,0,7,"Anger",0
"shac",0.846040692564253,0,13,"Anger",1
"declaiming",0.845717016823876,0,9,"Anger",0
"ranted",0.844928067663993,0,35,"Anger",0
"condoning",0.841658885270355,0,111,"Anger",0
"conniving",0.840964589124019,0,79,"Anger",0
"moharebeh",0.839447059145223,0,2,"Anger",1
"charlatan",0.839208849621719,0,35,"Anger",0
"dilly",0.83696993169463,0,25,"Anger",1
"duelling",0.836471256451378,0,13,"Anger",0
"catty",0.835550296361438,0,1,"Anger",0
"reproaches",0.834979635818444,0,9,"Anger",0
"mincing",0.834399780409768,0,24,"Anger",0
"jousts",0.833872136031337,0,12,"Anger",0
"joust",0.833192819788279,0,43,"Anger",0
"slur",0.831932057438648,0,447,"Anger",0
"inveighed",0.831843805403666,0,20,"Anger",0
"defamation",0.830607991230928,0,625,"Anger",0
"ridicules",0.828902299180472,0,5,"Anger",0
"satirically",0.828837953206988,0,2,"Anger",0
"tranquiliser",0.826476874233859,0,3,"Anger",0
"heckler",0.825859801123842,0,20,"Anger",0
"treasonous",0.823177326481887,0,1,"Anger",0
"defamatory",0.823131685994388,0,131,"Anger",0
"copping",0.820321541387337,0,15,"Anger",0
"slurs",0.818553088821645,0,104,"Anger",0
"pilger",0.818299189922795,0,51,"Anger",1
"mockingly",0.814951403767297,0,6,"Anger",0
"lj",0.814938791247848,0,3,"Anger",1
"spud",0.81471808921536,0,14,"Anger",0
"turpin",0.812671439999574,0,28,"Anger",1
"scornful",0.812512622710173,0,35,"Anger",0
"bigoted",0.812332153038815,0,106,"Anger",0
"impliedly",0.808941074827512,0,39,"Anger",0
"uttering",0.808335452932517,0,91,"Anger",0
"blackmailing",0.807807311673635,0,63,"Anger",0
"remonstrating",0.807401810264368,0,11,"Anger",0
"incites",0.807234906207028,0,40,"Anger",0
"sulfonate",0.806341790916882,0,2,"Anger",1
"disallows",0.806086478643791,0,5,"Anger",0
"propositioned",0.804324066423341,0,10,"Anger",0
"loudmouth",0.803896282995005,0,1,"Anger",0
"defamed",0.802400272288601,0,50,"Anger",0
"offen",0.80194783207068,0,3,"Anger",1
"traitorous",0.801723820196342,0,6,"Anger",0
"scorning",0.801342288783734,0,4,"Anger",0
"consorted",0.801211516755171,0,4,"Anger",0
"sneering",0.800672756491454,0,193,"Anger",0
"apologia",0.80043092862708,0,46,"Anger",0
"tolhurst",0.799356729988238,0,9,"Anger",1
"slandered",0.797413375325157,0,22,"Anger",0
"dissimulation",0.796583213338405,0,6,"Anger",0
"hiles",0.794408996269095,0,34,"Anger",1
"hurls",0.791316290221635,0,3,"Anger",0
"meritless",0.790422851184128,0,11,"Anger",0
"homophobic",0.790041749737053,0,431,"Anger",1
"pled",0.789827588621602,0,3,"Anger",0
"sacco",0.788999257309242,0,2,"Anger",1
"impiety",0.787159019008239,0,1,"Anger",0
"pimping",0.786906493208609,0,21,"Anger",0
"extorted",0.786260563919512,0,7,"Anger",0
"posy",0.785858855460497,0,1,"Anger",1
"adultery",0.785501158422176,0,108,"Anger",0
"tirades",0.784352720974418,0,12,"Anger",0
"vulgarly",0.784088175865606,0,7,"Anger",0
"verbally",0.783752570698611,0,196,"Anger",0
"unrepentantly",0.783523335499559,0,8,"Anger",0
"decriminalisation",0.782846323664677,0,268,"Anger",0
"orgies",0.782415670447354,0,4,"Anger",0
"insinuation",0.782354188498748,0,64,"Anger",0
"seditious",0.781426082255404,0,17,"Anger",0
"trigg",0.781254064103614,0,2,"Anger",1
"cutlasses",0.780622961038556,0,4,"Anger",0
"scurrilous",0.780299547972865,0,237,"Anger",0
"warman",0.779825083580296,0,16,"Anger",0
"cleator",0.779617741620498,0,10,"Anger",1
"bestiality",0.77949933868411,0,24,"Anger",0
"decapitating",0.778660296030607,0,2,"Anger",0
"kushayb",0.778016857561825,0,2,"Anger",1
"slanders",0.777962911630322,0,4,"Anger",0
"diatribes",0.777047531695636,0,25,"Anger",0
"lysa",0.776742242742959,0,10,"Anger",1
"stridently",0.776699047039064,0,30,"Anger",0
"admonishing",0.776577375397765,0,9,"Anger",0
"insolence",0.776266316712542,0,13,"Anger",0
"necrophilia",0.776040721041553,0,17,"Anger",0
"pronounces",0.775890238859279,0,21,"Anger",0
"misquoting",0.775470111979218,0,89,"Anger",0
"interceded",0.77542318887118,0,4,"Anger",0
"abjured",0.775016432664901,0,4,"Anger",0
"heretic",0.774955664556686,0,16,"Anger",0
"denigration",0.774797180751414,0,122,"Anger",0
"counterclaim",0.774513463192415,0,8,"Anger",0
"dursley",0.774286070827739,0,31,"Anger",1
"milward",0.774237262113655,0,3,"Anger",1
"berating",0.774141497243229,0,76,"Anger",0
"virulently",0.773494878136196,0,28,"Anger",0
"fantasist",0.771529365398027,0,11,"Anger",0
"vehemently",0.771179418371384,0,391,"Anger",0
"forde",0.770041831654963,0,19,"Anger",1
"countersued",0.769588683775644,0,2,"Anger",0
"peta",0.769513973946043,0,8,"Anger",1
"wittily",0.769122287233899,0,23,"Anger",0
"humiliates",0.768026147970903,0,14,"Anger",0
"soman",0.767933064841272,0,2,"Anger",1
"disdains",0.767884446443627,0,4,"Anger",0
"cackling",0.767314656340652,0,7,"Anger",0
"buffoon",0.767224167954254,0,16,"Anger",0
"misprision",0.766763269173609,0,2,"Anger",0
"panentheism",0.766723838581221,0,2,"Anger",0
"bankrolling",0.766511216198292,0,49,"Anger",0
"interrogates",0.766478938051587,0,4,"Anger",0
"highwayman",0.766193866996564,0,7,"Anger",0
"blasphemed",0.765794355664582,0,4,"Anger",0
"harangue",0.765162587159095,0,28,"Anger",0
"taunts",0.764869127871469,0,34,"Anger",0
"specious",0.764573949007962,0,311,"Anger",0
"snorted",0.764183564968892,0,8,"Anger",0
"falsehoods",0.763553511670629,0,69,"Anger",0
"insubordinate",0.763014882136293,0,2,"Anger",0
"insinuating",0.762547584324709,0,37,"Anger",0
"hagenbach",0.762166579652698,0,5,"Anger",1
"persecuting",0.762148428669934,0,91,"Anger",0
"oswin",0.762018105433156,0,1,"Anger",1
"shaming",0.761832423794595,0,340,"Anger",0
"martic",0.761726789704867,0,2,"Anger",1
"fabrications",0.761615472645482,0,15,"Anger",0
"oto",0.761566680677578,0,1,"Anger",1
"disowns",0.761420599159532,0,21,"Anger",0
"rednecks",0.760570510680492,0,2,"Anger",0
"feber",0.760440708060895,0,1,"Anger",1
"papist",0.760309776387325,0,18,"Anger",0
"demagogic",0.759904416779502,0,15,"Anger",0
"deriding",0.759342782379228,0,58,"Anger",0
"monicker",0.759169011113048,0,1,"Anger",0
"deirdre",0.758011285557839,0,34,"Anger",1
"solicitation",0.757994358282506,0,13,"Anger",0
"rogerson",0.757947897355004,0,156,"Anger",1
