"word","results","seed","hansardcount","valence","manualflag"
"showcase",1,0,488,"Pos",0
"showcasing",0.98032081300253,0,65,"Pos",0
"excellence",0.973576222473561,0,5774,"Pos",0
"complement",0.968197344544872,0,1530,"Pos",0
"showcases",0.96751061537557,0,30,"Pos",0
"rapport",0.964071580518046,0,69,"Pos",0
"offers",0.960469096028191,0,9472,"Pos",0
"eclectic",0.929878667366577,0,68,"Pos",0
"talents",0.923887787559694,0,1570,"Pos",0
"complements",0.915150909554753,0,316,"Pos",0
"boasts",0.912348904308185,0,685,"Pos",0
"innovative",0.910972462585707,0,5706,"Pos",0
"versatile",0.905715636601315,0,113,"Pos",0
"coveted",0.893478380835817,0,40,"Pos",0
"suite",0.888922132577335,0,697,"Pos",0
"endowed",0.884920445226383,0,166,"Pos",0
"horizons",0.876577466167383,0,354,"Pos",0
"showcased",0.875636803476885,0,55,"Pos",0
"elegant",0.865573923838635,0,660,"Pos",0
"reception",0.865285194411343,0,1942,"Pos",0
"unique",0.860982906806342,0,8381,"Pos",0
"artistic",0.856349812277984,0,425,"Pos",0
"select",0.852241533457843,0,52668,"Pos",1
"award",0.852222494400315,0,5468,"Pos",0
"selects",0.850442349515308,0,116,"Pos",0
"sumptuous",0.849773414310239,0,11,"Pos",0
"spacious",0.846325727402533,0,31,"Pos",0
"complemented",0.84407532155702,0,312,"Pos",0
"multimedia",0.844009928109381,0,39,"Pos",0
"arts",0.842710330557115,0,7456,"Pos",0
"ideal",0.841901561892644,0,3263,"Pos",0
"hospitality",0.84159807736027,0,2367,"Pos",0
"partnership",0.840177104246729,0,21734,"Pos",1
"suites",0.831759051266078,0,187,"Pos",0
"complementary",0.831676367266062,0,1658,"Pos",0
"chosen",0.828448384779997,0,9703,"Pos",0
"selections",0.827225879187789,0,107,"Pos",0
"superb",0.821339868876771,0,2472,"Pos",0
"invaluable",0.817765301947597,0,1535,"Pos",0
"achievement",0.816680527728767,0,8325,"Pos",0
"diploma",0.816528818474042,0,427,"Pos",0
"culinary",0.814850705330217,0,51,"Pos",0
